Reference Number,Procuring Entity,Title,Area of Delivery,Solicitation Number,Trade Agreement,Procurement Mode,Classification,Category,Approved Budget for the Contract,Contract Duration,Client Agency,Contact Person,Status,Associated Components,Bid Supplements,Document Request List,Date Published,Last Updated / Time,Closing Date / Time,Description,Other Information,Created by,Date Created
7011563,DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - REGION V,"20F00059 (re-advertisement) - OO1: Ensure Safe and Reliable National Road System – Network Development Program – Road Widening – Secondary Roads, Masbate-Cataingan-Placer Road, Cataingan, Masbate (3rd",Masbate,20F00059,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"139,923,944.95",252 Day/s,,Mavic Azuran,Active,Order,0,5,03/06/2020,03/06/2020 12:00 AM,23/06/2020 10:00 AM," 20F00059 - OO1: Ensure Safe and Reliable National Road System – Network Development Program – Road Widening – Secondary Roads, Masbate-Cataingan-Placer Road, Cataingan, Masbate (3rd Legislative District)", please see attached,Mavic Azuran,26/05/2020
6997272,CADUHA-AN NATIONAL HIGH SCHOOL - TAGBANON EXTENSION HIGH SCH,Purchase of Hygiene and Sanitary Supplies,Negros Occidental,015 Procurement of Hygiene and Sanitation Supplies,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Office Equipment Supplies and Consumables,"15,000.00",5 Day/s,,Jovel Jurada Oberio,Active,Order,0,1,03/06/2020,03/06/2020 12:00 AM,08/06/2020 8:00 AM," The estimated budget for the emergency procurement of hygiene and sanitary suppies is 15,000.00"," 15,000.00 budget for:",Jovel Jurada Oberio,14/05/2020
6989274,LAS PIÑAS GENERAL HOSPITAL AND SATELLITE TRAUMA CENTER,Isolation Gown Disposable,Metro Manila,2020-0253,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Medical and Dental Equipment,"900,000.00",7 Day/s,,REBECCA CALUAG LOPEZ,Active,Order,0,4,03/06/2020,03/06/2020 12:00 AM,08/06/2020 1:00 AM," 3000 pcs, Isolation Gown, disposable, non-woven"," All quotation must be submitted in a sealed envelope directly to LPGH&STC, address to Ms. Cecille P. Manipon, BAC Chairman or email, together with the following requirements;",REBECCA CALUAG LOPEZ,08/05/2020
6999329,WESTERN VISAYAS SANITARIUM - DOH,"Procurement of Various Office Supplies,  Customized Logbooks & Forms and ICT Consumables",Iloilo,IB No.2020-06-010-G,Implementing Rules and Regulations,Public Bidding,Goods,Office Supplies and Devices,"1,337,399.00",15 Day/s,,Gredalie Rivera Acopio,Active,Order,0,1,03/06/2020,03/06/2020 12:00 AM,23/06/2020 10:00 AM," Republic of the Philippines
Department of Health
WESTERN VISAYAS SANITARIUM
Santa Barbara, Iloilo
INVITATION TO BID FOR
Procurement of Various Office Supplies, 
Customized Logbooks & Forms and ICT Consumables
IB No. 2020-06-010-G
The Western Visayas Sanit", Prospective bidders are encouraged to attend the prebid conference as scheduled.,Gredalie Rivera Acopio,18/05/2020
7012188,DEPARTMENT OF AGRARIAN REFORM - CEBU PROVINCE,Thermal Scanner & Chemical Products,Cebu,20-05-161,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Chemicals and Chemical Products,"60,500.00",5 Day/s,,FE POTENCIOSO GARIBAY,Active,Order,0,2,03/06/2020,03/06/2020 12:00 AM,08/06/2020 5:00 PM," For DAR PARO Cebu
  7 Pcs.  Thermal Scanner
30 Gals. Disinfectant
30 Gals. Alcohol 70%", Please submit hard copy of your price proposals to DAR PARO Cebu.,FE POTENCIOSO GARIBAY,27/05/2020
7012580,DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - REGION V,"20F00123 - OO1: Ensure Safe and Reliable National Road System – Bridge Program – Widening of Permanent Bridges – Pili Airport Br. (B00418LZ) along Pili Airport Road, Pili, Camarines Sur 3rd Legislativ",Camarines Sur,20F00123,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"57,899,874.60",202 Day/s,,Mavic Azuran,Active,Order,0,4,03/06/2020,03/06/2020 12:00 AM,23/06/2020 10:00 AM," 20F00123 - OO1: Ensure Safe and Reliable National Road System – Bridge Program – Widening of Permanent Bridges – Pili Airport Br. (B00418LZ) along Pili Airport Road, Pili, Camarines Sur 3rd Legislative District", please see attached,Mavic Azuran,27/05/2020
6978235,DEPARTMENT OF AGRICULTURE - REGION VII,"AMIA-20-1499: Procurement of Agricultural Supplies to be used in the implementation of the research on Corn-Based Farming System under AMIA project to be established at San Remigio, Cebu",,DA7-2020-06-AMIA-20-1499,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,"Agricultural Products (Seeds, Seedlings, Plants..)","142,500.00",30 Day/s,,JOEL A. ELUMBA,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,15/06/2020 8:00 AM," Request for Quotation for the Procurement of Agricultural Supplies to be used in the implementation of the research on Corn-Based Farming System under AMIA project to be established at San Remigio, Cebu
1.	The Department of Agriculture-Regional Field Offi",,ANECITA A. SESPEÑE,28/04/2020
7010741,DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - NUEVA VIZCAYA 1ST ,CONSULTING SERVICES FOR THE CONDUCT OF SOIL  TESTING/EXPLORATION FOR PROPOSED FY 2021 INFRASTRUCTURE  PROJECT.,Nueva Vizcaya,20CSBI0001,Implementing Rules and Regulations,Public Bidding,Consulting Services,Consulting Services,"1,860,000.00",48 Day/s,,REYNALDO PARTIDO SANTOS,Active,Order,0,1,03/06/2020,03/06/2020 12:00 AM,15/06/2020 10:00 AM," Buildings
1.	Construction of Multi-Purpose Building, Brgy. Conception, Solano, Nueva Vizcaya
2.	Completion of New Diadi Public Market
3.	Constuction of DPWH NV 1st. DEO Building
Bridge
1.	Tapaya Bridge (B0448LZ)
2.	Lanog Bridge (B01262LZ)
3.	Unaon Bridge ",,REYNALDO PARTIDO SANTOS,26/05/2020
6978184,DEPARTMENT OF AGRICULTURE - REGION VII,FOD-L-20-1489: Procurement of Animal and Zoological Supplies to be used for the consumption of animals within DA RFO7 research stations,,DA7-2020-06-FOD-L-20-1489,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Animal Feeds,"264,510.00",30 Day/s,,JOEL A. ELUMBA,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,15/06/2020 8:00 AM," Request for Quotation for the Procurement of Animal and Zoological Supplies to be used for the consumption of animals within DA RFO7 research stations
1.	The Department of Agriculture-Regional Field Office 7 (DA-RFO 7), through the General Appropriations ",,ANECITA A. SESPEÑE,28/04/2020
7014849,BUREAU OF CUSTOMS - DAVAO CITY,"Supply , Delivery and Installation of Heavy duty Copier/Scanner/Printer",Davao Del Sur,2020-05-0015,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Office Equipment,"850,000.00",0 Day/s,,Jephonie Ganibe Lumansoy,Active,Order,0,6,03/06/2020,03/06/2020 12:00 AM,09/06/2020 1:00 AM," 3 units	Supply , Delivery and Installation of Heavy duty Copier/Scanner/Printer
Specifications:
-3in1 Multifunction Copier Machine (Full Color)
-Print system: Laser
-Print Speed: Up to 22 ppm (A4)
-Print Resolution: 1,800 x 600 dpi
-Print Area: A5 to A3 (",,Jephonie Ganibe Lumansoy,28/05/2020
7014662,DON MARIANO MARCOS MEMORIAL STATE UNIVERSITY - BACNOTAN,Purchase of Air conditioing units,La Union,164-2005004,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Airconditioning and Airconditioning Systems,"104,394.30",15 Day/s,,Jesusa G Maon,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,08/06/2020 2:00 PM," 1. 1unit Air conditioner
    - inverter, split type
    - 2.5Hp
    - with installation
2.  1unit Air conditioner
    - window type
    - 2.5Hp",,Jesusa G Maon,28/05/2020
7012526,DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - REGION V,"20F00122 - OO1: Ensure Safe and Reliable National Road System – Bridge Program – Widening of Permanent Bridges – Magsaysay Br. (B00474LZ) along MT Villanueva Ave-Magsaysay Road, Naga City, Camarines S",Camarines Sur,20F00122,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"57,899,843.81",202 Day/s,,Mavic Azuran,Active,Order,0,4,03/06/2020,03/06/2020 12:00 AM,23/06/2020 10:00 AM," 20F00122 - OO1: Ensure Safe and Reliable National Road System – Bridge Program – Widening of Permanent Bridges – Magsaysay Br. (B00474LZ) along MT Villanueva Ave-Magsaysay Road, Naga City, Camarines Sur 3rd Legislative District", please see attached,Mavic Azuran,27/05/2020
7012436,DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - REGION V,20F00113 - Local Program – Construction/Repair/Rehabilitation/Improvement of Various Infrastructure including Local Projects – Local Roads and Bridges – Local Roads – Construction of Pasacao-Balatan C,Camarines Sur,20F00113,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"96,499,079.66",275 Day/s,,Mavic Azuran,Active,Order,0,4,03/06/2020,03/06/2020 12:00 AM,23/06/2020 10:00 AM," 20F00113 - Local Program – Construction/Repair/Rehabilitation/Improvement of Various Infrastructure including Local Projects – Local Roads and Bridges – Local Roads – Construction of Pasacao-Balatan Coastal Road, Brgy. Pinamasagan, San Fernando, Camarines", please see attached,Mavic Azuran,27/05/2020
6977631,DEPARTMENT OF AGRICULTURE - REGION VII,FOD-L-20-1488: Procurement of Generator Set to be used in support to the native cattle semen laboratory project in the Province of Siquijor,,DA7-2020-06-FOD-L-20-1488,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Power Generation and Distribution Machinery,"460,000.00",30 Day/s,,JOEL A. ELUMBA,Active,Order,0,2,03/06/2020,03/06/2020 12:00 AM,15/06/2020 8:00 AM," Request for Quotation for the Procurement of Generator Set to be used in support to the native cattle semen laboratory project in the Province of Siquijor
1.	The Department of Agriculture-Regional Field Office 7 (DA-RFO 7), through the General Appropriati",,ANECITA A. SESPEÑE,28/04/2020
7014614,DON MARIANO MARCOS MEMORIAL STATE UNIVERSITY - BACNOTAN,Purchase of IT supplies and equipment,La Union,164-2005001,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Information Technology,"140,000.00",15 Day/s,,Jesusa G Maon,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,08/06/2020 2:00 PM," 1. 1unit Computer unit
    - Intel Core i7 9th gen processor
    - 4GB DDR4
    - 1TB HDD
    - Compatible motherboard for the above specifications
    - PC case with power supply
    - Mouse and keyboard
    - Computer monitor, 19""
    - Windows 10 Home ",,Jesusa G Maon,28/05/2020
7012397,DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - REGION V,20F00110 - Local Program – Construction/Repair/Rehabilitation/Improvement of Various Infrastructure including Local Projects – Local Roads and Bridges – Local Roads – Construction of Pasacao-Balatan C,Camarines Sur,20F00110,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"96,498,691.77",263 Day/s,,Mavic Azuran,Active,Order,0,4,03/06/2020,03/06/2020 12:00 AM,23/06/2020 10:00 AM," 20F00110 - Local Program – Construction/Repair/Rehabilitation/Improvement of Various Infrastructure including Local Projects – Local Roads and Bridges – Local Roads – Construction of Pasacao-Balatan Coastal Road, Brgy. Cotmo, San Fernando, Camarines Sur (", please see attached,Mavic Azuran,27/05/2020
7013608,DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - AKLAN DEO,"20GA0180-Construction of Multi-Purpose Building Brgy. Maloco, Ibajay, Aklan",Aklan,20GA0180,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"14,850,000.00",240 Day/s,,Michelle Retamar Roldan,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,23/06/2020 10:00 AM," Republic of the Philippines
DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS
OFFICE OF THE DISTRICT ENGINEER
Aklan District Engineering Office
Toting Reyes St., Kalibo, Aklan
The Department of Public Works and Highways (DPWH), Aklan District EngineeringOffice, Kal", https://drive.google.com/file/d/1UgQtD5vlUjUAH6wKf27158WuFJAvQKdK/view?usp=drivesdk,Michelle Retamar Roldan,27/05/2020
7013383,DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - AKLAN DEO,"20GA0176-Rehabilitation of MPB (Makato Municipal Hall) Brgy. Poblacion, Makato, Aklan",Aklan,20GA0176,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"1,960,000.00",75 Day/s,,Michelle Retamar Roldan,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,23/06/2020 10:00 AM," Republic of the Philippines
DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS
OFFICE OF THE DISTRICT ENGINEER
Aklan District Engineering Office
Toting Reyes St., Kalibo, Aklan
The Department of Public Works and Highways (DPWH), Aklan District EngineeringOffice, Kal", https://drive.google.com/file/d/1lSoMVnTGZ3Wr9-T_LnYDf-m0DYM_UM8J/view?usp=drivesdk,Michelle Retamar Roldan,27/05/2020
7013235,DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - AKLAN DEO,"20GA0174-Construction of Multi-Purpose Building Brgy. Manoc-manoc, Malay, Aklan",Aklan,20GA0174,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"1,960,000.00",75 Day/s,,Michelle Retamar Roldan,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,23/06/2020 10:00 AM," Republic of the Philippines
DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS
OFFICE OF THE DISTRICT ENGINEER
Aklan District Engineering Office
Toting Reyes St., Kalibo, Aklan
The Department of Public Works and Highways (DPWH), Aklan District EngineeringOffice, Kal", https://drive.google.com/file/d/1wYQhWmVsmfOlLRdGLuxM8QKYpH8fNs1K/view?usp=drivesdk,Michelle Retamar Roldan,27/05/2020
7012811,DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - AKLAN DEO,"20GA0158-Construction of Multi-Purpose Building Brgy. Cabugao, Ibajay, Aklan",Aklan,20GA0158,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"1,980,000.00",75 Day/s,,Michelle Retamar Roldan,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,23/06/2020 10:00 AM," Republic of the Philippines
DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS
OFFICE OF THE DISTRICT ENGINEER
Aklan District Engineering Office
Toting Reyes St., Kalibo, Aklan
The Department of Public Works and Highways (DPWH), Aklan District EngineeringOffice, Kal", https://drive.google.com/file/d/1-XoZdxODBUV0mlTESOFfKRBRbAlieBGJ/view?usp=drivesdk,Michelle Retamar Roldan,27/05/2020
7012753,DEPARTMENT OF AGRARIAN REFORM - CEBU PROVINCE,"Animal Feeds,Vitamins etc.",Cebu,20-05-157,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Animal Feeds,"105,000.00",7 Day/s,,FE POTENCIOSO GARIBAY,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,08/06/2020 5:00 PM," 45  Sacks  Chicken Feeds (grower)
 300  Tabs    Dewormer
  30  Packs   Vitamins/Multi vitamins - Powder
  60  Packs   Antibiotics
  30  Packs   Flea Shampoo", Please submit hard copy of your proposals to DAR PARO Cebu.,FE POTENCIOSO GARIBAY,27/05/2020
7012234,DEPARTMENT OF AGRARIAN REFORM - CEBU PROVINCE,Live Animals - Chicken,Cebu,20-05-156,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,"Live Animals (Livestock, Birds, Live fish & etc..)","120,000.00",7 Day/s,,FE POTENCIOSO GARIBAY,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,08/06/2020 5:00 PM," 30 heads Native Chicken - Rooster
270 heads Native Chicken - Pullets
* All Chicken must be:
   1. Live weight - 1.2 to 2 kgs per head
   2. Age - not more than 1 year
   3. Dewormed", Please submit hard copy of your price proposals to DAR PARO Cebu.,FE POTENCIOSO GARIBAY,27/05/2020
6971285,DEPARTMENT OF AGRICULTURE - REGION VII,FOD-R-20-1925: Procurement of Other Supplies to be used for the CY 2020 Rice Program in the Province of Bohol,Bohol,DA7-2020-06-FOD-R-20-1925,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,General Merchandise,"100,000.00",30 Day/s,,JOEL A. ELUMBA,Active,Order,0,1,03/06/2020,03/06/2020 12:00 AM,15/06/2020 8:00 AM," Request for Quotation for the Procurement of Other Supplies to be used for the CY 2020 Rice Program in the Province of Bohol
1.	The Department of Agriculture-Regional Field Office 7 (DA-RFO 7), through the General Appropriations Act of CY 2020)  intends t",,ANECITA A. SESPEÑE,21/04/2020
7014583,"MUNICIPALITY OF PANGANTUCAN, BUKIDNON",Purchase of Medical Equipments for MHO 1st & 2nd Quarter (Re-Bid),Bukidnon,ITB NO. 2020-006-026,Implementing Rules and Regulations,Public Bidding,Goods,Medical Supplies and Laboratory Instrument,"490,000.00",10 Day/s,,Tolentino Almedilla  Bellezas,Active,Order,0,1,03/06/2020,03/06/2020 12:00 AM,10/06/2020 1:30 PM," Republic of the Philippines
Province of Bukidnon
MUNICIPALITY OF PANGANTUCAN
TIN 099-000-631-170
OFFICE OF THE MUNICIPAL MAYOR
Bids and Awards Committee (BAC)
Cell # 09261024636 
Email us: munpangantucanbukidnon@yahoo.com  or visit www.philgeps.net
INVITA", Check associated components.,Tolentino Almedilla  Bellezas,28/05/2020
7012980,DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - AKLAN DEO,"20GA0164-Construction of Multi-Purpose Building  In Brgy. Ondoy, Ibajay, Aklan",Aklan,20GA0164,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"1,960,000.00",75 Day/s,,Michelle Retamar Roldan,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,23/06/2020 10:00 AM," Republic of the Philippines
DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS
OFFICE OF THE DISTRICT ENGINEER
Aklan District Engineering Office
Toting Reyes St., Kalibo, Aklan
The Department of Public Works and Highways (DPWH), Aklan District EngineeringOffice, Kal", https://drive.google.com/file/d/1j-PPg2Vo1G4kOzmQndHzi2MW9dt03XZI/view?usp=drivesdk,Michelle Retamar Roldan,27/05/2020
7012364,DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - REGION V,20F00108 - Convergence and Special Support Program – Construction/Improvement of Access Roads Leading to Declared Tourism Destinations – Pasacao-Balatan Tourism Coastal Highway Leading to Pasacao Port,Camarines Sur,20F00108,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"53,298,846.86",150 Day/s,,Mavic Azuran,Active,Order,0,4,03/06/2020,03/06/2020 12:00 AM,23/06/2020 10:00 AM," 20F00108 - Convergence and Special Support Program – Construction/Improvement of Access Roads Leading to Declared Tourism Destinations – Pasacao-Balatan Tourism Coastal Highway Leading to Pasacao Port to White Sand Beaches (Pasacao Section), Pasacao, Cama", please see attached,Mavic Azuran,27/05/2020
7016689,PHILIPPINE STATISTICS AUTHORITY - ZAMBOANGA CITY,"Procurement of Bondpaper A4, 70gsm and Binding Cover Paper Size A4",Zamboanga Del Sur,2020-05-0050,Implementing Rules and Regulations,Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),Goods,Office Supplies and Devices,"196,800.00",0 Day/s,,ROXAN KASTINE MENDOZA LUMAPAS,Active,Order,0,0,03/06/2020,03/06/2020 12:00 AM,08/06/2020 1:00 PM," Qty  Unit   Item Description                                 Unit Cost        Total Cost
532  rms   Bond Paper (A4, 70gsm)                      300.00         159,600.00
465  rms   Binding Cover Page, UV foldcot, Size A4  80.00           37,200.00
       ",,ROXAN KASTINE MENDOZA LUMAPAS,29/05/2020
