Reference Number,Procuring Entity,Title,Area of Delivery,Solicitation Number,Trade Agreement,Procurement Mode,Classification,Category,Approved Budget for the Contract,Contract Duration,Client Agency,Contact Person,Status,Associated Components,Bid Supplements,Document Request List,Date Published,Last Updated / Time,Closing Date / Time,Description,Other Information,Created by,Date Created
6977877,PROVINCE OF ILOILO,"PEO-20-0583 B - Procurement of Oil and Lubricants for use in the maintenance of various provincial owned equipment assigned at PEP, Sta. Barbara, Iloilo",Iloilo,PEO-20-0583 B,Implementing Rules and Regulations,Public Bidding,Goods,Fuels/Fuel Additives & Lubricants & Anti Corrosive,"14,808.20",14 Day/s,,Gracianito Lara Lucero,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,10/06/2020 9:00 AM," The Bids and Awards Committee								
Province of Iloilo								
								
     In connection with your Invitation to Bid No. PEO-20-0583 B  scheduled on June 10, 2020, I/we proposed to furnish and deliver in conformity with the terms and conditions, and s", Republic of the Philippines,Gracianito Lara Lucero,28/04/2020
6977848,PROVINCE OF ILOILO,PEO-20-0502 B- Procurement of Diesel Fuel for use in truck team operation for the repair and maintenance of provincial roads and bridges in the Province of Iloilo,Iloilo,PEO-20-0502 B,Implementing Rules and Regulations,Public Bidding,Goods,Fuels/Fuel Additives & Lubricants & Anti Corrosive,"848,600.00",14 Day/s,,Gracianito Lara Lucero,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,10/06/2020 9:00 AM," The Bids and Awards Committee								
Province of Iloilo								
								
     In connection with your Invitation to Bid No. PEO-20-0502 B  scheduled on June 10, 2020, I/we proposed to furnish and deliver in conformity with the terms and conditions, and s", Republic of the Philippines,Gracianito Lara Lucero,28/04/2020
6977808,PROVINCE OF ILOILO,"PEO-20-0501 B- Procurement of Construction Materials for the Improvement of Leon – Omambong – Cordova Road, Tigbauan, Iloilo",Iloilo,PEO-20-0501 B,Implementing Rules and Regulations,Public Bidding,Goods,Construction Materials and Supplies,"1,936,238.00",5 Day/s,,Gracianito Lara Lucero,Active,Order,0,1,02/06/2020,02/06/2020 12:00 AM,26/06/2020 9:00 AM," The Bids and Awards Committee								
Province of Iloilo								
								
     In connection with your Invitation to Bid No. PEO-20-0501 B  scheduled on June 26, 2020, I/we proposed to furnish and deliver in conformity with the terms and conditions, and s", Republic of the Philippines,Gracianito Lara Lucero,28/04/2020
6977737,PROVINCE OF ILOILO,"PEO-20-0504 B- Procurement of Spare Parts for use of Isuzu Dump Truck (NDT-37) Model:FTR33FLD assigned at PEP, Sta. Barbara, Iloilo",Iloilo,PEO-20-0504 B,Implementing Rules and Regulations,Public Bidding,Goods,Vehicle Parts and Accessories,"304,840.00",14 Day/s,,Gracianito Lara Lucero,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,10/06/2020 9:00 AM," The Bids and Awards Committee								
Province of Iloilo								
								
     In connection with your Invitation to Bid No. PEO-20-0504 B  scheduled on June 10, 2020, I/we proposed to furnish and deliver in conformity with the terms and conditions, and s", Republic of the Philippines,Gracianito Lara Lucero,28/04/2020
6964177,"CITY OF DASMARIÑAS, CAVITE",PURCHASE AND INSTALLATION OF SOUND SYSTEM AND CCTV CAMERAS FOR THE PAMANTASAN NG DASMARIÑAS,Cavite,GEPS-12-2020,Implementing Rules and Regulations,Public Bidding,Goods,Security Surveillance and Detection Equipment,"8,258,700.00",30 Day/s,,Katrine Natanauan Martinez,Active,Order,0,5,02/06/2020,02/06/2020 12:00 AM,23/06/2020 10:00 AM," 1. Ceiling mounted speaker 6W/100V COM Black 6w - Red 3w-White.................................................185 pcs.
2. horn speaker 30w/100v COM Black 15w - Green 30w................................................................31 pcs.
3. Amplifier "," ALL INTERESTED BIDDERS ARE REQUIRED TO SUBMIT THEIR COMPLETE ELIGIBILITY REQUIREMENTS TO THE BAC FOR EVALUATION DURING THE PRE-BID CONFERENCE ON JUNE 9, 2020 8:00A.M. AT THE BAC SECRETARIAT OFFICE, 2ND FLOOR, CITY HALL OF DASMARIÑAS, CAVITE. BIDDERS WHO SHALL FAIL TO ATTEND THE PRE-BID SHALL NOT BE ALLOWED TO JOIN THE BIDDING FOR THE AFORESAID PROJECT. ",Katrine Natanauan Martinez,13/04/2020
6978698,PROVINCE OF ILOILO,PEO-20-0544 B- Procurement of Tires and Battery,Iloilo,PEO-20-0544 B,Implementing Rules and Regulations,Public Bidding,Goods,Vehicle Parts and Accessories,"95,750.00",14 Day/s,,Gracianito Lara Lucero,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,10/06/2020 9:00 AM," The Bids and Awards Committee								
Province of Iloilo								
								
     In connection with your Invitation to Bid No. PEO-20-0544 B scheduled on June 10, 2020, I/we proposed to furnish and deliver in conformity with the terms and conditions, and sp", Republic of the Philippines,Gracianito Lara Lucero,28/04/2020
7005631,"PN BAC SECRETARIAT, AFP PROCUREMENT SERVICE",Inspection and Repair as Necessary of NV311,Cavite,AC-PNBAC1-2020-01,Implementing Rules and Regulations,Negotiated Procurement - Two Failed Biddings (Sec. 53.1),Goods - General Support Services,Aviation Services,"29,000,500.00",150 Day/s,,LT RAYMOND A ROLDAN PN,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,18/06/2020 9:00 AM," 1.	Bids received in excess of the ABC shall be automatically rejected during the Bid Opening. Interested Bidders may obtain further information from PN BAC in the given address below from 8:00 AM to 5:00 PM, Monday to Friday.
2.	Issuance of Bidding Docume"," A complete set of Bidding Documents will be provided by PNBAC Secretariat to the interested Bidders upon payment of a non-refundable fee in the amount of TWENTY FIVE THOUSAND PESOS (P25,000.00) only at CRB, CPMU, Philippine Navy Finance Center (PNFC), Naval Station Jose Francisco, Fort Bonifacio, Taguig City.",LT RAYMOND A ROLDAN PN,21/05/2020
7005233,"BARANGAY ALBALATE, CATBALOGAN, SAMAR",Invitation to Bid,Samar,Barangay Albalate-01-2020,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"120,000.00",9 Day/s,,Gerardo L. Dacles,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,09/06/2020 10:00 AM, Rehabilitation of Footbridge,,Gerardo L. Dacles,21/05/2020
6932635,CLARK DEVELOPMENT CORPORATION,Document Authentication System (Barcode System and Equipment),Pampanga,ITD 20-02-144,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Information Technology Parts & Accessories & Perip,"184,000.00",30 Day/s,,Venus V Timpug,Active,Order,0,5,02/06/2020,02/06/2020 12:00 AM,05/06/2020 1:00 PM," REQUEST FOR QUOTATION											
											
The Clark Development Corporation, through its  Purchasing Division (PD), invites suppliers/ manufacturers/contractors to send proposal for the hereunder project :											
											
											
Name of Pro"," 1			Lot	Document Authentication System (Barcode Printing Software, Equipment and Supplies)												",Venus V Timpug,11/03/2020
6997883,PHILIPPINE COMPETITION COMMISSION,Procurement of ICT Supplies for the Digital Forensic Laboratory,Metro Manila,2020-05-0073,Implementing Rules and Regulations,Shopping,Goods,Information Technology,"197,800.00",0 Day/s,,Isabelo Miguel Ventura Abaño,Active,Order,0,13,02/06/2020,02/06/2020 12:00 AM,08/06/2020 10:00 AM, Please see attached Technical Specifications,,Isabelo Miguel Ventura Abaño,15/05/2020
6994765,CITY OF VALENZUELA,"Supply of 10,000 liters of diesel",Metro Manila,5/14/2020,Implementing Rules and Regulations,Shopping,Goods,Fuels/Fuel Additives & Lubricants & Anti Corrosive,"450,000.00",1 Day/s,,Airen  Abejuro Delfin,Active,Order,0,1,02/06/2020,02/06/2020 12:00 AM,03/06/2020 1:00 AM," Supply and Delivery of 10,000 liters of Diesel",,Airen  Abejuro Delfin,13/05/2020
6978684,PROVINCE OF ILOILO,"PEO-20-0584 B- Procurement of Construction Materials for the Emergency Repair of Calero Bridge along Sulangan-Ermita Provincial Road, Dumangas, Iloilo",Iloilo,PEO-20-0584 B,Implementing Rules and Regulations,Public Bidding,Goods,Construction Materials and Supplies,"105,881.00",5 Day/s,,Gracianito Lara Lucero,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,10/06/2020 9:00 AM," The Bids and Awards Committee								
Province of Iloilo								
								
     In connection with your Invitation to Bid No. PEO-20-0584 B scheduled on June 10, 2020, I/we proposed to furnish and deliver in conformity with the terms and conditions, and sp", Republic of the Philippines,Gracianito Lara Lucero,28/04/2020
6991660,SAGAY WATER DISTRICT,DRILLING OF ONE (1) EXPLORATORY /PRODUCTION WELL AT BRGY. RAFAELA BARRERA,Negros Occidental,PR#2020-05-685,Implementing Rules and Regulations,Public Bidding,Civil Works,Well Drilling and Construction Services,"3,600,000.00",30 Day/s,,Ronie S. Dela Calzada,Active,Order,0,1,02/06/2020,02/06/2020 12:00 AM,22/06/2020 10:00 AM," INVITATION TO BID FOR DRILLING OF ONE (1) EXPLORATORY/PRODUCTION WELL AT BRGY. RAFAELA BARRERA
(PROVISION OF WATER SUPPLY TO NHA PERMANENT RESETTLEMENT SITES HOUSING PROGRAM IN YOLANDA AFFECTED AREAS)
FOR SAGAY WATER DISTRICT
1. The SAGAY WATER DISTRICT (", Other Information,Ronie S. Dela Calzada,11/05/2020
6986153,PROVINCE OF ILOILO,"PEO-20-0597 B- Procurement of Construction Materials for use in the Improvement of Drainage Canal along Batad Pob.-Bulak Road, Batad, Iloilo",Iloilo,PEO-20-0597 B,Implementing Rules and Regulations,Public Bidding,Goods,Construction Materials and Supplies,"1,109,930.00",5 Day/s,,Gracianito Lara Lucero,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,26/06/2020 9:00 AM," The Bids and Awards Committee								
Province of Iloilo								
								
     In connection with your Invitation to Bid No. PEO-20-0597-B scheduled on June 26, 2020, I/we proposed to furnish and deliver in conformity with the terms and conditions, and sp", Republic of the Philippines,Gracianito Lara Lucero,06/05/2020
6978728,PROVINCE OF ILOILO,"PEO-20-0545 B- Procurement of Technical and Scientific Equipment for use in the Material Testing and Quality Control Section, PEP, Sta, Barbara, Iloilo",Iloilo,PEO-20-0545 B,Implementing Rules and Regulations,Public Bidding,Goods,Laboratory Supplies and Equipment,"538,600.00",45 Day/s,,Gracianito Lara Lucero,Active,Order,0,7,02/06/2020,02/06/2020 12:00 AM,26/06/2020 9:00 AM," The Bids and Awards Committee								
Province of Iloilo								
								
     In connection with your Invitation to Bid No. PEO-20-0545 B scheduled on June 26, 2020, I/we proposed to furnish and deliver in conformity with the terms and conditions, and sp", Republic of the Philippines,Gracianito Lara Lucero,28/04/2020
7010214,PROVINCE OF ORIENTAL MINDORO,"Construction Materials and Supplies for use in the Construction of Covered Pathwalk at  Sta. Isabel E/S, Pinamalayan, Oriental Mindoro/ Completion of School’s Stage at Felimon M. Salcedo Sr. Mem. Nati",Oriental Mindoro,IB No. GS-2020 – 067,Implementing Rules and Regulations,Public Bidding,Goods,Construction Materials and Supplies,"336,540.50",7 Day/s,,Mariz  Lapid  Onchengco,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,09/06/2020 9:30 AM," INVITATION TO BID
IB No. GS-2020 – 067
Construction Materials and Supplies for use in the Construction of Covered Pathwalk at  Sta. Isabel E/S, Pinamalayan, Oriental Mindoro/ Completion of School’s Stage at Felimon M. Salcedo Sr. Mem. National High School",,Mariz  Lapid  Onchengco,26/05/2020
6993378,BARANGAY CAROLINA NAGA CITY CAMARINES SUR,MULTI PURPOSE VEHICLE,Camarines Sur,2020-06-002,Implementing Rules and Regulations,Public Bidding,Goods,Vehicles,"1,200,000.00",7 Day/s,,Eufresina Manguiat,Active,Order,0,7,02/06/2020,02/06/2020 12:00 AM,10/06/2020 10:06 AM," Diesel Euro 4 Compliant , 2.2 liters, 18 setears & wheel 14"" x5.0 J Steel Rims, Front and Rear Air-conditioning, Payload Capacity 1.145kgs, spray on Rhino-Lining on FB Body Flooring, 1 Din Stereo with Am/Fm, Clock,"," FB Body, Euro 4-Compliant 2.2 liter, CRDI Intercooler Turbo, Diesel Engine, Five-Speed Manual, Transmission, Max Power of 98 HP & 200Nm Torque.",Eufresina Manguiat,12/05/2020
7010176,PROVINCE OF ORIENTAL MINDORO,"Construction Materials and Supplies for use in the Construction of Stockroom at Brgy. Hall, Bagong Buhay, Naujan, Oriental Mindoro/ Construction of Covered Pathwalk at Antipolo E/S, Naujan, Oriental M",Oriental Mindoro,IB No. GS-2020 – 064,Implementing Rules and Regulations,Public Bidding,Goods,Construction Materials and Supplies,"695,997.16",7 Day/s,,Mariz  Lapid  Onchengco,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,09/06/2020 9:30 AM," INVITATION TO BID
IB No. GS-2020 – 064
Construction Materials and Supplies for use in the Construction of Stockroom at Brgy. Hall, Bagong Buhay, Naujan, Oriental Mindoro/ Construction of Covered Pathwalk at Antipolo E/S, Naujan, Oriental Mindoro/ Construc",,Mariz  Lapid  Onchengco,26/05/2020
7010164,PROVINCE OF ORIENTAL MINDORO,"Construction Materials and Supplies for use in the Installtion of Free Flowing at Dulangan I, Baco/ Installation of Deepwell at Malinao, Naujan, Oriental Mindoro/ Installation of Free Flowing at Sitio",Oriental Mindoro,IB No. GS-2020 – 063,Implementing Rules and Regulations,Public Bidding,Goods,Construction Materials and Supplies,"260,046.00",7 Day/s,,Mariz  Lapid  Onchengco,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,09/06/2020 9:30 AM," INVITATION TO BID
IB No. GS-2020 – 063
Construction Materials and Supplies for use in the Installtion of Free Flowing at Dulangan I, Baco/ Installation of Deepwell at Malinao, Naujan, Oriental Mindoro/ Installation of Free Flowing at Sitio Aliso & Sitio B",,Mariz  Lapid  Onchengco,26/05/2020
7010149,PROVINCE OF ORIENTAL MINDORO,"Construction Materials and Supplies for use in the Provision of P.E. Pipes S40 for Brgy. Antipolo, Naujan, Oriental Mindoro/ Provision of 300 meter Pipe for Sitio 3 at Barangay Buhangin Naujan, Orient",Oriental Mindoro,IB No. GS-2020 – 062,Implementing Rules and Regulations,Public Bidding,Goods,Construction Materials and Supplies,"327,324.00",7 Day/s,,Mariz  Lapid  Onchengco,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,09/06/2020 9:30 AM," INVITATION TO BID
IB No. GS-2020 – 062
Construction Materials and Supplies for use in the Provision of P.E. Pipes S40 for Brgy. Antipolo, Naujan, Oriental Mindoro/ Provision of 300 meter Pipe for Sitio 3 at Barangay Buhangin Naujan, Oriental Mindoro/ Prov",,Mariz  Lapid  Onchengco,26/05/2020
7010134,PROVINCE OF ORIENTAL MINDORO,"Construction Materials and Supplies for use in the Construction of Mini Gym at Calima E/S, Pola, Oriental Mindoro/ Construction of Comfort Room at Panikian E/S, Pola, Oriental Mindoro/ Rehabilitation ",Oriental Mindoro,IB No. GS-2020 – 061,Implementing Rules and Regulations,Public Bidding,Goods,Construction Materials and Supplies,"446,252.12",7 Day/s,,Mariz  Lapid  Onchengco,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,09/06/2020 9:30 AM," INVITATION TO BID
IB No. GS-2020 – 061
Construction Materials and Supplies for use in the Construction of Mini Gym at Calima E/S, Pola, Oriental Mindoro/ Construction of Comfort Room at Panikian E/S, Pola, Oriental Mindoro/ Rehabilitation of Basketball Co",,Mariz  Lapid  Onchengco,26/05/2020
7010082,AGRICULTURAL TRAINING INSTITUTE-REGIONAL TRAINING CENTER X,"Transportation Services to be used during the conduct of Training on Organic Vegetable Production (Training on National Certification on OA) on November 10-12, 2020 at Oroquieta City, Misamis Occident",Misamis Occidental,ATI2020-05-95,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Transportation and Communications Services,"16,000.00",0 Day/s,,MARIELLE GRACE ANDRIN ROMAREZ,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,05/06/2020 1:00 AM," The AGRICULTURAL TRAINING INSTITUTE-REGIONAL TRAINING CENTER (ATI-RTC) X, through the 2020 General Appropriations Act intends to apply the sum of Sixteen Thousand Pesos (P 16,000.00) being the Approved Budget for the Contract (ABC) to payments under the c",,MARIELLE GRACE ANDRIN ROMAREZ,26/05/2020
7009799,AGRICULTURAL TRAINING INSTITUTE-REGIONAL TRAINING CENTER X,"Catering Services to be served during the conduct of Training on Organic Vegetable Production (Training on National Certification on OA) on November 10-12, 2020 at Oroquieta City, Misamis Occidental",Misamis Occidental,ATI2020-05-94,Implementing Rules and Regulations,Negotiated Procurement - Small Value Procurement (Sec. 53.9),Goods,Catering Services,"78,750.00",0 Day/s,,MARIELLE GRACE ANDRIN ROMAREZ,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,05/06/2020 1:00 AM," The AGRICULTURAL TRAINING INSTITUTE-REGIONAL TRAINING CENTER (ATI-RTC) X, through the 2020 General Appropriations Act intends to apply the sum of Seventy Eight Thousand Seven Hundred Fifty Pesos (P 78,750.00) being the Approved Budget for the Contract (AB",,MARIELLE GRACE ANDRIN ROMAREZ,26/05/2020
7006850,BARANGAY CALUMPANG EAST- SAN LUIS BATANGAS,"Purchase of of 3hp Submersible Pump and Motor Set of Barangay Talon, San Luis, Batangas",Batangas,180,Others,Shopping,Goods,Water Service Connection Materials/Fittings,"145,000.00",1 Day/s,,Rhea Magsombol Abreu,Active,Order,0,3,02/06/2020,02/06/2020 12:00 AM,08/06/2020 7:00 AM, 1 set 3HP Submersible Pump And Motor,,Rhea Magsombol Abreu,22/05/2020
7010939,"MUNICIPALITY OF TAFT, EASTERN SAMAR",REDEVELOPMENT OF JUAN SULSE MEMORIAL PARK,Eastern Samar,01-2020-0032,Implementing Rules and Regulations,Public Bidding,Civil Works,Construction Projects,"2,530,000.00",70 Day/s,,LEONARDO D AMORES,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,22/06/2020 2:00 PM," INVITATION TO APPLY FOR ELIGIBILITY AND TO BID
The local Government Unit of Taft, through is Bid and Awards Committee (BAC). Invites suppliers to apply for eligibility, to bid for the hereunder contract:
Name of Contract: REDEVELOPMENT OF JUAN SULSE MEMOR",,LEONARDO D AMORES,26/05/2020
7011654,PROVINCE OF SULU,"REHABILITATION OF LOCAL ROAD AT KAN-MANAHUL, PANAMAO, SULU",Sulu,GF20_3B-51,Implementing Rules and Regulations,Public Bidding,Goods,Construction Materials and Supplies,"7,574,235.00",40 Day/s,,Erwin Q Tan,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,09/06/2020 1:00 AM," INVITATION TO BID
June 2, 2020
Sulu Provincial Government Bids and Awards Committee (BAC) invites interested supplier/bidder to submit their sealed bids on the following specified construction materials for the “REHABILITATION OF LOCAL ROAD AT KAN-MANAHUL",,Erwin Q Tan,26/05/2020
7011646,PROVINCE OF SULU,"REHABILITATION OF LOCAL ROAD AT KALANG, TAPUL, SULU",Sulu,GF20_3B-50,Implementing Rules and Regulations,Public Bidding,Goods,Construction Materials and Supplies,"7,574,235.00",40 Day/s,,Erwin Q Tan,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,09/06/2020 1:00 AM," INVITATION TO BID
June 2, 2020
Sulu Provincial Government Bids and Awards Committee (BAC) invites interested supplier/bidder to submit their sealed bids on the following specified construction materials for the “REHABILITATION OF LOCAL ROAD AT KALANG, TAP",,Erwin Q Tan,26/05/2020
7011645,PROVINCE OF SULU,"CONCRETING OF ROAD AT DARUL JAMBANGAN, MAIMBUNG, SULU",Sulu,GF20_3B-49,Implementing Rules and Regulations,Public Bidding,Goods,Construction Materials and Supplies,"10,199,063.00",73 Day/s,,Erwin Q Tan,Active,Order,0,0,02/06/2020,02/06/2020 12:00 AM,09/06/2020 1:30 AM," INVITATION TO BID
June 2, 2020
Sulu Provincial Government Bids and Awards Committee (BAC) invites interested supplier/bidder to submit their sealed bids on the following specified construction materials for the “CONCRETING OF ROAD AT DARUL JAMBANGAN, MAIM",,Erwin Q Tan,26/05/2020
